                                          中信期货有限公司                                          
                                                                    制表时间 Creation Date：20170119
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  120200888          客户名称 Client Name：尚腾资本管理有限公司
日期 Date：20170119




                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                  5176727.62  基础保证金 Initial Margin：                10.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：                5171114.78
平仓盈亏 Realized P/L：                    5985.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                   -10210.00  客户权益 Client Equity：：            5171114.78
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      1387.84  保证金占用 Margin Occupied：           294855.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：       5171114.78
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：                4876259.78
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                     5.70%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20170119|上期所  |黄金              |     au1706     |   卖|投          |   273.000|     1|   273000.00|开                |     10.65|        0.00|                 0.00|00623051    |
|20170119|上期所  |黄金              |     au1706     |买   |投          |   272.900|     1|   272900.00|平今              |      0.15|      400.00|                 0.00|00647886    |
|20170119|上期所  |黄金              |     au1706     |买   |投          |   270.800|     1|   270800.00|平今              |      0.15|     2200.00|                 0.00|01163794    |
|20170119|上期所  |黄金              |     au1706     |   卖|投          |   270.800|     1|   270800.00|开                |     10.65|        0.00|                 0.00|01186504    |
|20170119|上期所  |黄金              |     au1706     |   卖|投          |   270.550|     1|   270550.00|开                |     10.65|        0.00|                 0.00|01212010    |
|20170119|上期所  |黄金              |     au1706     |买   |投          |   270.650|     2|   541300.00|平今              |      0.30|     2500.00|                 0.00|01445233    |
|20170119|上期所  |螺纹钢            |     rb1705     |买   |投          |  3300.000|     1|    33000.00|开                |      3.48|        0.00|                 0.00|00175606    |
|20170119|上期所  |螺纹钢            |     rb1705     |   卖|投          |  3278.000|     3|    98340.00|开                |     10.38|        0.00|                 0.00|00235818    |
|20170119|上期所  |螺纹钢            |     rb1705     |买   |投          |  3290.000|     3|    98700.00|平今              |     51.87|     -360.00|                 0.00|00397358    |
|20170119|上期所  |螺纹钢            |     rb1705     |买   |投          |  3290.000|     3|    98700.00|开                |     10.42|        0.00|                 0.00|00397359    |
|20170119|上期所  |螺纹钢            |     rb1705     |   卖|投          |  3275.000|     3|    98250.00|平今              |     51.64|     -550.00|                 0.00|00436125    |
|20170119|上期所  |螺纹钢            |     rb1705     |   卖|投          |  3234.000|     2|    64680.00|开                |      6.83|        0.00|                 0.00|00739337    |
|20170119|上期所  |螺纹钢            |     rb1705     |买   |投          |  3249.000|     4|   129960.00|开                |     13.72|        0.00|                 0.00|00996413    |
|20170119|上期所  |螺纹钢            |     rb1705     |买   |投          |  3249.000|     1|    32490.00|开                |      3.43|        0.00|                 0.00|00996414    |
|20170119|上期所  |螺纹钢            |     rb1705     |买   |投          |  3249.000|     1|    32490.00|开                |      3.43|        0.00|                 0.00|00996415    |
|20170119|上期所  |螺纹钢            |     rb1705     |   卖|投          |  3248.000|     3|    97440.00|开                |     10.28|        0.00|                 0.00|01002099    |
|20170119|上期所  |螺纹钢            |     rb1705     |   卖|投          |  3248.000|     2|    64960.00|开                |      6.86|        0.00|                 0.00|01002100    |
|20170119|上期所  |螺纹钢            |     rb1705     |   卖|投          |  3245.000|     1|    32450.00|平今              |     17.05|     -450.00|                 0.00|01002441    |
|20170119|上期所  |螺纹钢            |     rb1705     |   卖|投          |  3245.000|     2|    64900.00|平今              |     34.11|      -80.00|                 0.00|01002442    |
|20170119|上期所  |螺纹钢            |     rb1705     |   卖|投          |  3250.000|     2|    65000.00|开                |      6.86|        0.00|                 0.00|01021770    |
|20170119|上期所  |螺纹钢            |     rb1705     |买   |投          |  3266.000|     3|    97980.00|开                |     10.34|        0.00|                 0.00|01100281    |
|20170119|上期所  |螺纹钢            |     rb1705     |   卖|投          |  3260.000|     2|    65200.00|平今              |     34.27|      220.00|                 0.00|01125696    |
|20170119|上期所  |螺纹钢            |     rb1705     |   卖|投          |  3260.000|     1|    32600.00|平今              |     17.13|      110.00|                 0.00|01125699    |
|20170119|上期所  |螺纹钢            |     rb1705     |   卖|投          |  3251.000|     3|    97530.00|平今              |     51.26|     -280.00|                 0.00|01163918    |
|20170119|上期所  |螺纹钢            |     rb1705     |买   |投          |  3256.000|     3|    97680.00|平今              |     51.34|     -520.00|                 0.00|01180399    |
|20170119|上期所  |螺纹钢            |     rb1705     |买   |投          |  3256.000|     1|    32560.00|平今              |     17.11|      -80.00|                 0.00|01180400    |
|20170119|上期所  |螺纹钢            |     rb1705     |买   |投          |  3256.000|     2|    65120.00|平今              |     34.22|     -160.00|                 0.00|01180401    |
|20170119|上期所  |螺纹钢            |     rb1705     |买   |投          |  3263.000|     3|    97890.00|开                |     10.33|        0.00|                 0.00|01212012    |
|20170119|上期所  |螺纹钢            |     rb1705     |买   |投          |  3280.000|     3|    98400.00|开                |     10.39|        0.00|                 0.00|01307440    |
|20170119|上期所  |螺纹钢            |     rb1705     |   卖|投          |  3280.000|     3|    98400.00|平今              |     51.71|      480.00|                 0.00|01321382    |
|20170119|上期所  |螺纹钢            |     rb1705     |   卖|投          |  3256.000|     3|    97680.00|平今              |     51.34|     -550.00|                 0.00|01443927    |
|20170119|上期所  |石油沥青          |     bu1706     |   卖|投          |  2650.000|     2|    53000.00|开                |      5.59|        0.00|                 0.00|00158313    |
|20170119|上期所  |石油沥青          |     bu1706     |   卖|投          |  2636.000|     1|    26360.00|开                |      2.78|        0.00|                 0.00|01002095    |
|20170119|上期所  |石油沥青          |     bu1706     |   卖|投          |  2636.000|     1|    26360.00|开                |      2.78|        0.00|                 0.00|01002096    |
|20170119|上期所  |石油沥青          |     bu1706     |   卖|投          |  2636.000|     1|    26360.00|开                |      2.78|        0.00|                 0.00|01002097    |
|20170119|上期所  |石油沥青          |     bu1706     |   卖|投          |  2636.000|     1|    26360.00|开                |      2.78|        0.00|                 0.00|01002098    |
|20170119|上期所  |石油沥青          |     bu1706     |   卖|投          |  2634.000|     3|    79020.00|开                |      8.34|        0.00|                 0.00|01007447    |
|20170119|上期所  |石油沥青          |     bu1706     |   卖|投          |  2634.000|     1|    26340.00|开                |      2.78|        0.00|                 0.00|01007448    |
|20170119|上期所  |石油沥青          |     bu1706     |买   |投          |  2638.000|     4|   105520.00|开                |     11.14|        0.00|                 0.00|01034086    |
|20170119|上期所  |天然橡胶          |     ru1705     |   卖|投          | 21035.000|     1|   210350.00|开                |     10.05|        0.00|                 0.00|00906812    |
|20170119|上期所  |天然橡胶          |     ru1705     |买   |投          | 21105.000|     1|   211050.00|平今              |     49.98|     -700.00|                 0.00|00943437    |
|20170119|上期所  |天然橡胶          |     ru1705     |   卖|投          | 21095.000|     1|   210950.00|开                |     10.08|        0.00|                 0.00|01428363    |
|20170119|上期所  |天然橡胶          |     ru1705     |买   |投          | 21135.000|     1|   211350.00|平今              |     50.05|     -400.00|                 0.00|01437755    |
|20170119|上期所  |铜                |     cu1703     |买   |投          | 46490.000|     1|   232450.00|开                |     12.33|        0.00|                 0.00|00160047    |
|20170119|上期所  |铜                |     cu1703     |   卖|投          | 46390.000|     1|   231950.00|平今              |      0.13|     -500.00|                 0.00|00272734    |
|20170119|上期所  |铜                |     cu1703     |   卖|投          | 46390.000|     1|   231950.00|开                |     12.30|        0.00|                 0.00|00272735    |
|20170119|上期所  |铜                |     cu1703     |买   |投          | 46440.000|     1|   232200.00|平今              |      0.13|     -250.00|                 0.00|00348172    |
|20170119|上期所  |铜                |     cu1703     |买   |投          | 46440.000|     1|   232200.00|开                |     12.32|        0.00|                 0.00|00348173    |
|20170119|上期所  |铜                |     cu1703     |   卖|投          | 46480.000|     1|   232400.00|平今              |      0.13|      200.00|                 0.00|00590449    |
|20170119|上期所  |铜                |     cu1703     |   卖|投          | 46480.000|     1|   232400.00|开                |     12.33|        0.00|                 0.00|00590450    |
|20170119|上期所  |铜                |     cu1703     |买   |投          | 46590.000|     1|   232950.00|平今              |      0.13|     -550.00|                 0.00|00606403    |
|20170119|上期所  |铜                |     cu1703     |买   |投          | 46590.000|     1|   232950.00|开                |     12.36|        0.00|                 0.00|00606404    |
|20170119|上期所  |铜                |     cu1703     |   卖|投          | 46780.000|     1|   233900.00|平今              |      0.13|      950.00|                 0.00|01163793    |
|20170119|上期所  |铜                |     cu1703     |买   |投          | 46810.000|     1|   234050.00|开                |     12.42|        0.00|                 0.00|01212013    |
|20170119|上期所  |铜                |     cu1703     |   卖|投          | 46710.000|     1|   233550.00|平今              |      0.13|     -500.00|                 0.00|01443950    |
|20170119|郑商所  |白砂糖            |     SR705      |   卖|投          |  6886.000|     3|   206580.00|开                |      9.56|        0.00|                 0.00|011900837139|
|20170119|郑商所  |白砂糖            |     SR705      |买   |投          |  6896.000|     3|   206880.00|  平              |      0.11|     -300.00|                 0.00|011900920195|
|20170119|郑商所  |白砂糖            |     SR705      |买   |投          |  6896.000|     1|    68960.00|开                |      3.19|        0.00|                 0.00|011900920197|
|20170119|郑商所  |白砂糖            |     SR705      |买   |投          |  6896.000|     1|    68960.00|开                |      3.19|        0.00|                 0.00|011900920199|
|20170119|郑商所  |白砂糖            |     SR705      |买   |投          |  6896.000|     1|    68960.00|开                |      3.19|        0.00|                 0.00|011900920206|
|20170119|郑商所  |白砂糖            |     SR705      |买   |投          |  6971.000|     4|   278840.00|开                |     12.75|        0.00|                 0.00|011901120188|
|20170119|郑商所  |白砂糖            |     SR705      |   卖|投          |  6987.000|     1|    69870.00|  平              |      0.04|      910.00|                 0.00|011901377833|
|20170119|郑商所  |白砂糖            |     SR705      |   卖|投          |  6987.000|     1|    69870.00|  平              |      0.04|      910.00|                 0.00|011901377834|
|20170119|郑商所  |白砂糖            |     SR705      |   卖|投          |  6987.000|     1|    69870.00|  平              |      0.04|      910.00|                 0.00|011901377835|
|20170119|郑商所  |白砂糖            |     SR705      |买   |投          |  6985.000|     3|   209550.00|开                |      9.57|        0.00|                 0.00|011901460190|
|20170119|郑商所  |白砂糖            |     SR705      |   卖|投          |  6990.000|     1|    69900.00|  平              |      0.04|      190.00|                 0.00|011901733866|
|20170119|郑商所  |白砂糖            |     SR705      |   卖|投          |  6990.000|     2|   139800.00|  平              |      0.08|      380.00|                 0.00|011901733868|
|20170119|郑商所  |甲醇              |     MA705      |   卖|投          |  2768.000|     1|    27680.00|开                |      2.12|        0.00|                 0.00|011900952524|
|20170119|郑商所  |甲醇              |     MA705      |   卖|投          |  2767.000|    10|   276700.00|开                |     21.15|        0.00|                 0.00|011900952527|
|20170119|郑商所  |甲醇              |     MA705      |   卖|投          |  2767.000|     2|    55340.00|开                |      4.23|        0.00|                 0.00|011900952529|
|20170119|郑商所  |甲醇              |     MA705      |   卖|投          |  2767.000|    18|   498060.00|开                |     38.07|        0.00|                 0.00|011900952574|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2773.000|     1|    27730.00|  平              |      6.32|      630.00|                 0.00|011900992859|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2773.000|     2|    55460.00|  平              |     12.63|     1260.00|                 0.00|011900992883|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2773.000|     2|    55460.00|  平              |     12.63|     1260.00|                 0.00|011900999688|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2773.000|     4|   110920.00|  平              |     25.26|     2520.00|                 0.00|011900999689|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2773.000|     1|    27730.00|  平              |      6.32|      630.00|                 0.00|011900999690|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2773.000|     1|    27730.00|  平              |      6.32|      630.00|                 0.00|011900999691|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2782.000|     1|    27820.00|  平              |      6.32|     -140.00|                 0.00|011901120032|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2782.000|     1|    27820.00|  平              |      6.32|     -150.00|                 0.00|011901120056|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2782.000|     1|    27820.00|  平              |      6.32|     -150.00|                 0.00|011901120058|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2782.000|     1|    27820.00|开                |      2.12|        0.00|                 0.00|011901120060|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2782.000|     3|    83460.00|开                |      6.35|        0.00|                 0.00|011901120062|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2782.000|     1|    27820.00|开                |      2.12|        0.00|                 0.00|011901120064|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2782.000|     1|    27820.00|开                |      2.12|        0.00|                 0.00|011901120066|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2782.000|     1|    27820.00|开                |      2.12|        0.00|                 0.00|011901120068|
|20170119|郑商所  |甲醇              |     MA705      |买   |投          |  2782.000|     8|   222560.00|开                |     16.92|        0.00|                 0.00|011901120070|
|20170119|郑商所  |一号棉花          |     CF705      |   卖|投          | 15170.000|     1|    75850.00|开                |      6.34|        0.00|                 0.00|011901101628|
|20170119|郑商所  |一号棉花          |     CF705      |   卖|投          | 15175.000|     1|    75875.00|开                |      6.34|        0.00|                 0.00|011901118175|
|20170119|郑商所  |一号棉花          |     CF705      |   卖|投          | 15170.000|     2|   151700.00|开                |     12.68|        0.00|                 0.00|011901118177|
|20170119|郑商所  |一号棉花          |     CF705      |   卖|投          | 15170.000|     1|    75850.00|开                |      6.34|        0.00|                 0.00|011901118181|
|20170119|郑商所  |一号棉花          |     CF705      |买   |投          | 15240.000|     1|    76200.00|  平              |      6.34|     -700.00|                 0.00|011901414470|
|20170119|郑商所  |一号棉花          |     CF705      |买   |投          | 15240.000|     1|    76200.00|  平              |      6.34|     -350.00|                 0.00|011901414471|
