                                                结算单

账户：12020088807
日期：20170119
                                               资金状况                            币种：人民币
-----------------------------------------------------------------------------------------------
上次结算金：         497789.55                                   交割手续费：              0.00
出 入 金：                0.00                                   期末结存：           500250.15
平仓盈亏：             3315.00                                   保证金占用：              0.00
持仓盈亏：                0.00                                   可用资金：           500250.15
手续费：                854.40                                   风险度：                 0.00%

-----------------------------------------------------------------------------------------------

                                               成交明细
-----------------------------------------------------------------------------------------------
| 成交日期 | 交易所 |  合约  | 买/卖 | 投/保 |  成交价  |  手数 |开平 |  手续费  |  成交编号  |
|20170119  |郑商所  |SR705   |卖     |投机   |   6886.00|      3|开仓 |      9.56|2017011900837139|
|20170119  |郑商所  |SR705   |买     |投机   |   6896.00|      3|平仓 |      0.11|2017011900920195|
|20170119  |郑商所  |SR705   |买     |投机   |   6896.00|      1|开仓 |      3.19|2017011900920197|
|20170119  |郑商所  |SR705   |买     |投机   |   6896.00|      1|开仓 |      3.19|2017011900920199|
|20170119  |郑商所  |SR705   |买     |投机   |   6896.00|      1|开仓 |      3.19|2017011900920206|
|20170119  |郑商所  |SR705   |卖     |投机   |   6987.00|      1|平仓 |      0.04|2017011901377833|
|20170119  |郑商所  |SR705   |卖     |投机   |   6987.00|      1|平仓 |      0.04|2017011901377834|
|20170119  |郑商所  |SR705   |卖     |投机   |   6987.00|      1|平仓 |      0.04|2017011901377835|
|20170119  |郑商所  |SR705   |买     |投机   |   6985.00|      3|开仓 |      9.57|2017011901460190|
|20170119  |郑商所  |SR705   |卖     |投机   |   6990.00|      1|平仓 |      0.04|2017011901733866|
|20170119  |郑商所  |SR705   |卖     |投机   |   6990.00|      2|平仓 |      0.08|2017011901733868|
-----------------------------------------------------------------------------------------------
|共: 71条  |        |        |       |       |          |    152|     |    854.40|            |
-----------------------------------------------------------------------------------------------


                                               平仓明细
-----------------------------------------------------------------------------------------------
| 成交日期 | 开仓价 |  合约  | 买/卖 | 投/保 |  平仓价  |  手数 |开平 |  平仓盈亏  | 成交编号 |
-----------------------------------------------------------------------------------------------

