                                                         结算单                                                        

账户：12020088807
日期：20170216
                                                         资金状况                                          币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金：       518799.83 								 交割手续费：              0.00
出入金：                  0.00 								 期末结存：           538811.99
平仓盈亏：            21000.00 								 保证金占用：              0.00
持仓盈亏：                0.00 								 可用资金：           538811.99
手续费：                987.84 								 风险度：                 0.00%


--------------------------------------------------------成交明细-------------------------------------------------------

|      合约代码   |    交易所 | 成交日期| 买/卖| 投/保|       成交价|  手数 |  开平 |      手续费   |      成交编号   |
|            m1705| 20170216|  买  |      2960.00|     2954.000|      3|   平今|       180.00|  投机|         10696607|
|            m1705| 20170216|  买  |      2960.00|     2954.000|      5|   平今|       300.00|  投机|         10696646|
|            m1705| 20170216|  买  |      2960.00|     2954.000|      1|   平今|        60.00|  投机|         10696679|
|            m1705| 20170216|  买  |      2960.00|     2954.000|      1|   平今|        60.00|  投机|         10696682|
|            l1705| 20170216|  买  |     10000.00|     9920.000|      6|   平今|      2400.00|  投机|         30607925|
|           rb1705| 20170216|  买  |      3366.00|     3370.000|      5|   平今|      -200.00|  投机|           454624|
|           ru1705| 20170216|  买  |     21270.00|    21290.000|      1|   平今|      -200.00|  投机|           455036|
|           cu1704| 20170216|    卖|     48760.00|    48770.000|      2|   平今|       100.00|  投机|           469985|
|           au1706| 20170216|  买  |       274.55|      274.950|      1|   平今|      -400.00|  投机|           536979|
|           cu1704| 20170216|  买  |     48770.00|    49020.000|      1|   平今|     -1250.00|  投机|           610995|
|           cu1704| 20170216|  买  |     48770.00|    49020.000|      1|   平今|     -1250.00|  投机|           610995|
|           au1706| 20170216|    卖|       274.95|      275.850|      1|   平今|       900.00|  投机|           688220|
|           au1706| 20170216|    卖|       274.90|      276.750|      1|   平今|      1850.00|  投机|          1408061|
|           au1706| 20170216|    卖|       277.05|      276.750|      1|   平今|      -300.00|  投机|          1408085|
|           rb1705| 20170216|    卖|      3404.00|     3458.000|      1|   平今|       540.00|  投机|          1533346|
|           rb1705| 20170216|    卖|      3404.00|     3458.000|      1|   平今|       540.00|  投机|          1533348|
|           rb1705| 20170216|    卖|      3404.00|     3458.000|      2|   平今|      1080.00|  投机|          1533349|
|           rb1705| 20170216|    卖|      3404.00|     3458.000|      1|   平今|       540.00|  投机|          1533351|
|           rb1705| 20170216|    卖|      3488.00|     3458.000|      1|   平今|      -300.00|  投机|          1533372|
|           rb1705| 20170216|    卖|      3488.00|     3458.000|      1|   平今|      -300.00|  投机|          1533377|
|           rb1705| 20170216|    卖|      3488.00|     3458.000|      1|   平今|      -300.00|  投机|          1533386|
|           rb1705| 20170216|    卖|      3488.00|     3458.000|      2|   平今|      -600.00|  投机|          1533391|
|           ag1706| 20170216|    卖|      4237.00|     4223.000|      5|   平今|     -1050.00|  投机|          1627656|
|           cu1704| 20170216|    卖|     49020.00|    48890.000|      2|   平今|     -1300.00|  投机|          1703875|
|           ru1705| 20170216|  买  |     21265.00|    20490.000|      1|   平今|      7750.00|  投机|          1885648|
|           ru1705| 20170216|  买  |     20750.00|    20490.000|      1|   平今|      2600.00|  投机|          1885648|
|           rb1705| 20170216|  买  |      3458.00|     3396.000|      1|   平今|       620.00|  投机|          1886504|
|           rb1705| 20170216|  买  |      3458.00|     3396.000|      1|   平今|       620.00|  投机|          1886504|
|           rb1705| 20170216|  买  |      3458.00|     3396.000|      3|   平今|      1860.00|  投机|          1886504|
|           rb1705| 20170216|  买  |      3449.00|     3396.000|      5|   平今|      2650.00|  投机|          1886504|
|           cu1704| 20170216|  买  |     48890.00|    48750.000|      1|   平今|       700.00|  投机|          1888160|
|           cu1704| 20170216|  买  |     48890.00|    48750.000|      1|   平今|       700.00|  投机|          1888362|
-----------------------------------------------------------------------------------------------------------------------
|    共：  34条   |         |      |             |             |     71|       |     21000.00|      |                 |
-----------------------------------------------------------------------------------------------------------------------


如果下一交易日开市前不提出书面异议，贵方视为确认。

结算部盖章

客户签字
