                                                         结算单                                                        

账户：12020088808
日期：20170216
                                                         资金状况                                          币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金：      4445396.88 								 交割手续费：              0.00
出入金：                  0.00 								 期末结存：          4374800.87
平仓盈亏：           -26825.00 								 保证金占用：        1323682.95
持仓盈亏：           -42600.00 								 可用资金：          3051117.92
手续费：               1171.01 								 风险度：                30.26%


--------------------------------------------------------持仓明细-------------------------------------------------------

|     合约代码    |    交易所 | 开仓日期| 投/保| 买/卖|  手数 |    开仓价   |    结算价   |   持仓盈亏  |    保证金   |
|            y1705|     大商所| 20170215|  投机|    卖|      2|     6848.000|     6836.000|       120.00|      9570.40|
|            m1705|     大商所| 20170215|  投机|  买  |      3|     2950.000|     2963.000|       450.00|      6222.30|
|            m1705|     大商所| 20170215|  投机|  买  |      3|     2950.000|     2963.000|       450.00|      6222.30|
|            m1705|     大商所| 20170215|  投机|  买  |      1|     2950.000|     2963.000|       150.00|      2074.10|
|            m1705|     大商所| 20170213|  投机|  买  |      3|     3000.000|     2963.000|       450.00|      6222.30|
|            y1705|     大商所| 20170215|  投机|    卖|      1|     6852.000|     6836.000|        60.00|      4785.20|
|            y1705|     大商所| 20170215|  投机|    卖|      3|     6852.000|     6836.000|       180.00|     14355.60|
|            y1705|     大商所| 20170207|  投机|    卖|      4|     6860.000|     6836.000|       240.00|     19140.80|
|            y1705|     大商所| 20170207|  投机|    卖|      2|     6860.000|     6836.000|       120.00|      9570.40|
|            y1705|     大商所| 20170207|  投机|    卖|      2|     6860.000|     6836.000|       120.00|      9570.40|
|            y1705|     大商所| 20170207|  投机|    卖|      1|     6860.000|     6836.000|        60.00|      4785.20|
|            y1705|     大商所| 20170207|  投机|    卖|      1|     6860.000|     6836.000|        60.00|      4785.20|
|            c1705|     大商所| 20170215|  投机|    卖|     28|     1569.000|     1576.000|     -1120.00|     30889.60|
|            j1705|     大商所| 20170214|  投机|  买  |      2|     1653.000|     1690.000|      7100.00|     50700.00|
|           jm1705|     大商所| 20170214|  投机|  买  |      5|     1199.500|     1237.000|      9150.00|     55665.00|
|           jm1705|     大商所| 20170214|  投机|    卖|      1|     1221.500|     1237.000|     -1830.00|     11133.00|
|            i1705|     大商所| 20170213|  投机|  买  |      2|      699.000|      699.500|      -600.00|     13990.00|
|            i1705|     大商所| 20170213|  投机|  买  |      1|      697.000|      699.500|      -300.00|      6995.00|
|            i1705|     大商所| 20170213|  投机|  买  |      2|      697.000|      699.500|      -600.00|     13990.00|
|            i1705|     大商所| 20170213|  投机|  买  |      2|      697.500|      699.500|      -600.00|     13990.00|
