                                                         结算单                                                        

账户：12020088808
日期：20170216
                                                         资金状况                                          币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金：      4445396.88 								 交割手续费：              0.00
出入金：                  0.00 								 期末结存：          4374800.87
平仓盈亏：           -26825.00 								 保证金占用：        1323682.95
持仓盈亏：           -42600.00 								 可用资金：          3051117.92
手续费：               1171.01 								 风险度：                30.26%


--------------------------------------------------------持仓明细-------------------------------------------------------

|     合约代码    |    交易所 | 开仓日期| 投/保| 买/卖|  手数 |    开仓价   |    结算价   |   持仓盈亏  |    保证金   |
|            c1705| 20170216|  买  |      1599.00|     1579.000|     11|   平仓|      -770.00|  投机|         10279388|
|            c1705| 20170216|  买  |      1599.00|     1579.000|      1|   平仓|       -70.00|  投机|         10279388|
|            c1705| 20170216|  买  |      1599.00|     1579.000|      6|   平仓|      -420.00|  投机|         10279388|
|            p1705| 20170216|  买  |      6100.00|     6072.000|      1|   平今|       300.00|  投机|         10721013|
|            p1705| 20170216|  买  |      6172.00|     6048.000|      1|   平今|       540.00|  投机|         10740730|
|            l1705| 20170216|    卖|     10535.00|    10115.000|      1|   平今|     -1250.00|  投机|         30129918|
|           pp1705| 20170216|    卖|      9402.00|     9119.000|      2|   平今|     -2360.00|  投机|         30224831|
|            j1705| 20170216|    卖|      1653.00|     1739.000|      1|   平今|      8450.00|  投机|         30406730|
|            i1705| 20170216|    卖|       711.50|      683.000|      5|   平仓|     -9750.00|  投机|         30597013|
|           ru1705| 20170216|    卖|     21930.00|    21325.000|      1|   平仓|     -3900.00|  投机|            73280|
|           ru1705| 20170216|  买  |     21325.00|    21440.000|      1|   平今|     -1150.00|  投机|           106254|
|           rb1705| 20170216|    卖|      3437.00|     3383.000|      1|   平仓|      -290.00|  投机|           124857|
|           rb1705| 20170216|    卖|      3437.00|     3383.000|      2|   平仓|      -580.00|  投机|           124857|
|           rb1705| 20170216|    卖|      3437.00|     3383.000|      1|   平仓|      -290.00|  投机|           124858|
|           rb1705| 20170216|    卖|      3437.00|     3383.000|      1|   平仓|      -290.00|  投机|           124859|
|           rb1705| 20170216|    卖|      3437.00|     3383.000|      1|   平仓|      -290.00|  投机|           124860|
|           rb1705| 20170216|    卖|      3440.00|     3383.000|      2|   平仓|      -580.00|  投机|           124861|
|           rb1705| 20170216|    卖|      3440.00|     3383.000|      1|   平仓|      -290.00|  投机|           124862|
|           rb1705| 20170216|    卖|      3357.00|     3383.000|      1|   平仓|      -290.00|  投机|           124862|
|           rb1705| 20170216|    卖|      3271.00|     3383.000|      2|   平仓|      -580.00|  投机|           124862|
|           rb1705| 20170216|    卖|      3421.00|     3383.000|      2|   平仓|      -580.00|  投机|           124863|
|           rb1705| 20170216|  买  |      3369.00|     3474.000|      2|   平仓|     -1240.00|  投机|          1205986|
|           rb1705| 20170216|    卖|      3474.00|     3492.000|      2|   平今|       360.00|  投机|          1268200|
|           rb1705| 20170216|    卖|      3474.00|     3492.000|      1|   平今|       180.00|  投机|          1268216|
|           ru1705| 20170216|  买  |     21325.00|    20905.000|      1|   平今|      4200.00|  投机|          1765034|
|           zn1704| 20170216|    卖|     23955.00|    23210.000|      1|   平仓|     -2025.00|  投机|          1937639|
|           zn1704| 20170216|    卖|     23905.00|    23210.000|      1|   平仓|     -2025.00|  投机|          1938542|
|           zn1704| 20170216|  买  |     23210.00|    23325.000|      1|   平今|      -575.00|  投机|          1983936|
-----------------------------------------------------------------------------------------------------------------------
|    共：  42条   |         |      |             |             |     84|       |    -26825.00|      |                 |
-----------------------------------------------------------------------------------------------------------------------


如果下一交易日开市前不提出书面异议，贵方视为确认。

结算部盖章

客户签字
